#2th	#Int
12.6100	2633.0060
12.6110	2631.4155
12.6120	2631.1179
12.6130	2632.1060
12.6140	2631.1383
12.6150	2633.0039
12.6160	2632.4643
12.6170	2631.8189
12.6180	2631.1566
12.6190	2629.3708
12.6200	2627.8504
12.6210	2631.6242
12.6220	2631.6787
12.6230	2630.0408
12.6240	2631.4958
12.6250	2630.7498
12.6260	2629.0049
12.6270	2629.1239
12.6280	2628.7038
12.6290	2629.5872
12.6300	2629.1271
12.6310	2627.5430
12.6320	2626.9120
12.6330	2624.0192
12.6340	2625.4120
12.6350	2625.6476
12.6360	2624.7891
12.6370	2628.2732
12.6380	2627.8367
12.6390	2628.6343
12.6400	2631.4370
12.6410	2632.1513
12.6420	2629.4404
12.6430	2628.6595
12.6440	2628.4482
12.6450	2627.6241
12.6460	2625.7789
12.6470	2625.7618
12.6480	2626.5952
12.6490	2626.6924
12.6500	2625.9986
12.6510	2624.8606
12.6520	2625.8333
12.6530	2625.4762
12.6540	2627.3555
12.6550	2625.7483
12.6560	2624.9400
12.6570	2625.4804
12.6580	2626.2384
12.6590	2626.0678
12.6600	2623.7106
12.6610	2622.5269
12.6620	2622.0529
12.6630	2621.3495
12.6640	2622.3166
12.6650	2622.1916
12.6660	2620.7851
12.6670	2622.9340
12.6680	2623.2054
12.6690	2623.1340
12.6700	2622.0639
12.6710	2620.7910
12.6720	2619.1410
12.6730	2618.3825
12.6740	2617.0611
12.6750	2617.5557
12.6760	2617.2017
12.6770	2618.1493
12.6780	2617.4803
12.6790	2615.2983
12.6800	2615.7116
12.6810	2616.0925
12.6820	2615.0163
12.6830	2616.3903
12.6840	2613.9832
12.6850	2613.5113
12.6860	2614.2911
12.6870	2613.6023
12.6880	2610.5368
12.6890	2609.9659
12.6900	2608.1088
12.6910	2610.7913
12.6920	2610.3806
12.6930	2611.9741
12.6940	2612.8823
12.6950	2615.3029
12.6960	2613.3118
12.6970	2611.9158
12.6980	2612.4134
12.6990	2610.1419
12.7000	2610.2168
12.7010	2610.7916
12.7020	2610.9257
12.7030	2611.8810
12.7040	2610.9763
12.7050	2612.9485
12.7060	2611.1092
12.7070	2610.7973
12.7080	2610.6494
12.7090	2612.3557
12.7100	2611.5600
12.7110	2612.9409
12.7120	2611.6155
12.7130	2611.6334
12.7140	2610.6232
12.7150	2610.7983
12.7160	2610.2914
12.7170	2610.4312
12.7180	2610.5717
12.7190	2608.9918
12.7200	2612.0076
12.7210	2610.4974
12.7220	2610.2165
12.7230	2610.4990
12.7240	2610.3699
12.7250	2609.6128
12.7260	2608.4858
12.7270	2607.9441
12.7280	2606.3019
12.7290	2608.3398
12.7300	2608.6652
12.7310	2605.5673
12.7320	2605.1863
12.7330	2604.6455
12.7340	2605.8082
12.7350	2604.3218
12.7360	2600.9385
12.7370	2601.6796
12.7380	2600.8476
12.7390	2602.4333
12.7400	2601.0846
12.7410	2600.9259
12.7420	2600.7134
12.7430	2599.5017
12.7440	2597.1684
12.7450	2594.8410
12.7460	2594.3546
12.7470	2594.2185
12.7480	2594.2661
12.7490	2595.8702
12.7500	2594.0994
12.7510	2592.6986
12.7520	2597.2846
12.7530	2596.4036
12.7540	2595.0516
12.7550	2593.3575
12.7560	2594.6709
12.7570	2595.7606
12.7580	2593.4629
12.7590	2591.5344
12.7600	2590.8133
12.7610	2590.9442
12.7620	2589.0395
12.7630	2587.4765
12.7640	2587.8382
12.7650	2588.6596
12.7660	2588.7251
12.7670	2589.8781
12.7680	2590.5285
12.7690	2591.2576
12.7700	2590.3867
12.7710	2591.2367
12.7720	2591.1092
12.7730	2588.3116
12.7740	2586.6619
12.7750	2585.3691
12.7760	2584.8409
12.7770	2585.2520
12.7780	2584.1290
12.7790	2583.9504
12.7800	2586.2957
12.7810	2585.0882
12.7820	2584.9649
12.7830	2585.6157
12.7840	2585.7374
12.7850	2586.2434
12.7860	2586.1158
12.7870	2587.8480
12.7880	2584.7956
12.7890	2585.4582
12.7900	2585.2647
12.7910	2582.7475
12.7920	2584.8499
12.7930	2584.5370
12.7940	2584.5608
12.7950	2585.9105
12.7960	2587.2628
12.7970	2587.5771
12.7980	2586.6062
12.7990	2587.8979
12.8000	2587.5431
12.8010	2586.3884
12.8020	2587.3836
12.8030	2587.0307
12.8040	2584.8323
12.8050	2586.2225
12.8060	2585.9070
12.8070	2583.3084
12.8080	2583.0564
12.8090	2584.2659
12.8100	2583.9592
12.8110	2584.3044
12.8120	2584.2245
12.8130	2580.6253
12.8140	2581.2171
12.8150	2581.9314
12.8160	2580.1282
12.8170	2581.7115
12.8180	2581.8734
12.8190	2580.7015
12.8200	2579.4812
12.8210	2580.3479
12.8220	2579.7562
12.8230	2579.0149
12.8240	2578.5054
12.8250	2579.2775
12.8260	2577.1193
12.8270	2577.3931
12.8280	2581.0394
12.8290	2579.2616
12.8300	2579.4973
12.8310	2580.0201
12.8320	2580.1986
12.8330	2579.4928
12.8340	2579.5563
12.8350	2579.5331
12.8360	2578.9583
12.8370	2579.6937
